File Name,RoundingHeurLevel-0,RootCutLevel-1,StrongBranching-1,StrongBranching-0,RoundingHeurLevel-1,RootCutLevel-0,TreeCutLevel-0,DivingHeurLevel-1,TreeCutLevel-1,SubMipHeurLevel-1,SubMipHeurLevel-0,MipLogLevel-2,DivingHeurLevel-0
load_balancing_705,1232.08,740.39,923.33,643.67,696.32,3600.06,963.85,865.61,979.2,823.49,736.22,891.95,848.0
load_balancing_707,3600.03,3425.24,3600.04,3600.03,3422.39,3600.05,3600.03,3600.03,3600.02,3600.03,3600.03,3600.05,3600.04
load_balancing_708,637.27,554.93,1012.77,388.1,460.66,3600.03,435.17,575.23,667.2,494.33,1044.88,486.0,537.59
load_balancing_709,2643.4,389.58,380.53,376.22,294.4,3600.06,414.21,408.59,446.91,375.94,365.14,319.3,391.2
load_balancing_710,3600.03,3600.02,3600.05,3600.03,3600.04,3600.03,3600.02,3600.03,3600.05,3600.04,3600.03,3600.04,3586.88
load_balancing_711,2763.74,707.96,632.84,496.69,558.91,3600.04,656.75,564.31,677.84,526.92,480.56,625.48,571.46
load_balancing_712,1068.44,721.09,806.33,845.51,870.22,3600.02,1010.25,891.6,882.2,903.63,876.94,889.57,912.47
load_balancing_713,725.24,593.26,579.27,519.43,610.34,3600.02,577.55,596.67,875.0,574.7,576.54,587.2,586.94
load_balancing_714,692.37,329.13,452.69,344.33,478.15,3600.06,331.2,494.09,503.54,257.14,372.61,268.37,509.36
load_balancing_715,3600.01,2107.73,1102.27,1228.66,1173.52,3600.03,1117.37,1048.31,2455.58,1134.87,1036.92,1237.53,1021.91
load_balancing_716,871.87,983.31,951.74,813.22,1018.48,3600.05,987.09,895.75,1424.87,863.23,861.23,902.97,891.89
load_balancing_717,1441.99,1678.19,1521.85,1592.82,1909.34,3600.02,1468.71,1700.79,1923.37,1294.3,1407.81,1622.26,1551.6
